timestamp_ms,ax,ay,az,label
3028080,-0.993164,-0.030029,-0.053955,left
3028101,-0.984863,-0.017822,-0.064453,left
3028122,-0.990723,-0.020752,-0.066895,left
3028143,-0.977295,-0.014893,-0.061523,left
3028164,-0.986328,-0.020996,-0.063477,left
3028185,-0.991211,-0.024414,-0.062012,left
3028206,-0.985596,-0.023437,-0.066895,left
3028227,-0.988525,-0.020508,-0.064941,left
3028248,-0.990479,-0.030518,-0.06665,left
3028269,-0.989014,-0.02002,-0.057129,left
3028290,-0.979248,-0.008545,-0.063721,left
3028311,-0.997559,-0.034668,-0.054443,left
3028332,-0.982178,-0.018555,-0.056885,left
3028353,-0.993408,-0.01709,-0.051514,left
3028374,-0.995361,-0.016602,-0.051025,left
3028395,-0.990723,-0.010498,-0.04834,left
3028416,-0.979736,-0.018066,-0.049072,left
3028437,-0.989258,-0.024414,-0.053711,left
3028458,-0.991211,-0.018066,-0.051758,left
3028479,-0.989258,-0.018311,-0.048828,left
3028500,-0.99292,-0.02124,-0.048828,left
3028521,-0.993652,-0.019043,-0.054932,left
3028542,-0.986816,-0.017578,-0.05249,left
3028563,-0.986572,-0.008057,-0.059814,left
3028584,-0.994629,-0.026855,-0.048584,left
3028605,-0.98584,-0.02002,-0.043213,left
3028626,-0.989014,-0.020752,-0.045898,left
3028647,-0.988525,-0.011963,-0.051758,left
3028668,-0.985596,-0.01416,-0.043701,left
3028689,-0.994141,-0.023437,-0.050537,left
3028710,-0.979248,-0.011719,-0.050293,left
3028731,-0.991699,-0.012207,-0.053223,left
3028752,-0.991455,-0.026855,-0.043457,left
3028773,-0.992187,-0.027588,-0.04834,left
3028794,-0.98999,-0.019775,-0.045654,left
3028815,-0.987305,-0.010498,-0.043701,left
3028836,-0.990479,-0.014648,-0.050537,left
3028857,-0.990479,-0.027832,-0.044922,left
3028878,-0.986084,-0.011719,-0.056152,left
3028899,-0.989502,-0.019287,-0.045654,left
3028920,-0.987061,-0.014893,-0.054199,left
3028941,-0.991455,-0.017822,-0.04834,left
3028962,-0.992432,-0.024414,-0.050537,left
3028983,-0.992187,-0.021729,-0.050293,left
3029004,-0.984375,-0.014893,-0.051514,left
3029025,-0.987061,-0.023437,-0.052002,left
3029046,-0.991211,-0.015625,-0.053955,left
3029067,-0.983643,-0.013184,-0.050293,left
3029088,-0.994629,-0.020508,-0.052246,left
3029109,-0.990479,-0.0271,-0.047119,left
3029130,-0.984375,-0.024414,-0.057129,left
3029151,-0.987305,-0.017822,-0.056885,left
3029172,-0.989746,-0.016602,-0.059326,left
3029193,-0.997559,-0.023926,-0.063232,left
3029214,-0.980225,-0.017334,-0.059326,left
3029235,-0.99585,-0.018311,-0.052979,left
3029256,-0.98999,-0.018799,-0.051758,left
3029277,-0.986084,-0.018066,-0.060547,left
3029298,-0.986084,-0.020752,-0.053223,left
3029319,-0.990234,-0.019531,-0.055176,left
3029340,-0.987061,-0.018799,-0.059082,left
3029361,-0.985352,-0.02002,-0.063965,left
3029382,-0.984863,-0.020996,-0.0625,left
3029403,-0.986816,-0.012451,-0.054443,left
3029429,-0.994873,-0.025879,-0.0625,left
3029450,-0.98584,-0.019531,-0.058838,left
3029471,-0.985352,-0.015137,-0.062744,left
3029492,-0.984131,-0.021484,-0.060059,left
3029513,-0.98291,-0.019043,-0.056152,left
3029534,-0.988281,-0.02002,-0.062012,left
3029555,-0.994873,-0.02417,-0.070557,left
3029576,-0.986084,-0.018799,-0.068359,left
3029597,-0.989746,-0.024902,-0.063965,left
3029618,-0.989746,-0.026123,-0.067383,left
3029639,-0.989258,-0.019775,-0.062256,left
3029660,-0.986328,-0.015137,-0.072754,left
3029681,-0.984863,-0.010254,-0.064941,left
3029702,-0.991943,-0.022217,-0.067139,left
3029723,-0.992676,-0.015137,-0.064209,left
3029744,-0.981445,-0.020752,-0.069824,left
3029765,-0.990967,-0.020996,-0.060547,left
3029786,-0.987549,-0.019043,-0.056152,left
3029807,-0.994141,-0.018799,-0.068115,left
3029828,-0.989746,-0.025391,-0.068604,left
3029849,-0.987793,-0.015625,-0.070068,left
3029870,-0.992432,-0.019287,-0.063477,left
3029891,-0.975098,-0.012939,-0.065918,left
3029912,-0.994629,-0.030029,-0.066162,left
3029933,-0.971436,-0.01709,-0.061279,left
3029954,-0.998291,-0.02124,-0.050781,left
3029975,-0.98584,-0.015381,-0.043945,left
3029996,-0.990967,-0.016602,-0.050781,left
3030017,-0.980957,-0.017822,-0.050537,left
3030038,-0.989258,-0.023193,-0.049805,left
3030059,-0.985596,-0.018311,-0.053467,left
3030080,-0.980713,-0.013916,-0.057373,left
3030101,-0.998047,-0.020996,-0.053711,left
3030122,-0.990479,-0.013916,-0.047607,left
3030143,-0.98877,-0.017578,-0.050537,left
3030164,-0.989502,-0.012695,-0.046875,left
3030185,-0.985596,-0.017822,-0.034424,left
3030206,-0.991699,-0.023926,-0.043945,left
3030227,-0.996826,-0.02124,-0.041748,left
3030248,-0.982666,-0.01416,-0.044922,left
3030269,-0.98877,-0.016846,-0.04248,left
3030290,-0.993164,-0.021484,-0.044189,left
3030311,-0.988525,-0.015869,-0.039307,left
3030332,-0.993896,-0.019775,-0.042236,left
3030353,-0.982666,-0.003662,-0.047852,left
3030374,-0.994141,-0.018311,-0.043213,left
3030395,-0.991699,-0.020508,-0.041504,left
3030416,-0.991211,-0.019531,-0.039063,left
3030437,-0.991699,-0.018066,-0.035645,left
3030458,-0.984375,-0.017334,-0.035889,left
3030479,-0.984375,-0.017822,-0.041992,left
3030500,-0.989502,-0.015381,-0.041992,left
3030521,-0.981934,-0.015625,-0.035645,left
3030542,-0.993896,-0.024414,-0.047363,left
3030563,-0.987793,-0.022461,-0.047363,left
3030584,-0.986084,-0.019287,-0.043945,left
3030605,-0.994141,-0.016357,-0.043457,left
3030626,-0.983154,-0.014893,-0.043457,left
3030647,-0.990967,-0.028809,-0.046143,left
3030668,-0.987061,-0.015137,-0.06543,left
3030689,-0.98999,-0.02002,-0.070557,left
3030710,-0.99292,-0.029541,-0.060059,left
3030731,-0.990234,-0.015869,-0.056641,left
3030752,-0.989258,-0.019531,-0.061035,left
3030773,-0.992432,-0.02124,-0.057373,left
3030794,-0.986328,-0.019043,-0.053711,left
3030815,-0.984863,-0.019531,-0.059082,left
